2019-03-28 13:59:30.862 INFO  --- [main] c.a.b.d.c.e.WelcomeLogoApplicationListener : 

 :: Dubbo Spring Boot (v0.2.1.RELEASE) : https://github.com/apache/incubator-dubbo-spring-boot-project
 :: Dubbo (v2.6.4) : https://github.com/apache/incubator-dubbo
 :: Discuss group : dev@dubbo.apache.org
 
2019-03-28 13:59:30.875 INFO  --- [main] c.a.b.d.c.e.OverrideDubboConfigApplicationListener : Dubbo Config was overridden by externalized configuration {dubbo.application.qos-enable=false, dubbo.config.multiple=true} 
2019-03-28 13:59:31.287 INFO  --- [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$1409f5f] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-03-28 13:59:31.345 INFO  --- [pool-2-thread-1] c.a.b.d.c.e.AwaitingNonWebApplicationListener :  [Dubbo] Current Spring Boot Application is await... 
2019-03-28 13:59:31.434 INFO  --- [main] c.a.b.d.c.e.OverrideDubboConfigApplicationListener : Dubbo Config was overridden by externalized configuration {dubbo.application.name=account, dubbo.application.qos-enable=false, dubbo.config.multiple=true, dubbo.protocol.name=dubbo, dubbo.protocol.port=20881, dubbo.registry.address=nacos://192.168.88.22:8848, dubbo.scan.base-packages=com.ksyzz.account.service} 
2019-03-28 13:59:31.449 INFO  --- [main] com.ksyzz.account.AccountApplication : No active profile set, falling back to default profiles: default 
2019-03-28 13:59:31.967 INFO  --- [main] c.a.d.c.s.c.a.DubboConfigBindingRegistrar : The dubbo config bean definition [name : com.alibaba.dubbo.config.ApplicationConfig#0, class : com.alibaba.dubbo.config.ApplicationConfig] has been registered. 
2019-03-28 13:59:31.967 INFO  --- [main] c.a.d.c.s.c.a.DubboConfigBindingRegistrar : The BeanPostProcessor bean definition [com.alibaba.dubbo.config.spring.beans.factory.annotation.DubboConfigBindingBeanPostProcessor] for dubbo config bean [name : com.alibaba.dubbo.config.ApplicationConfig#0] has been registered. 
2019-03-28 13:59:31.968 INFO  --- [main] c.a.d.c.s.c.a.DubboConfigBindingRegistrar : The dubbo config bean definition [name : com.alibaba.dubbo.config.RegistryConfig#0, class : com.alibaba.dubbo.config.RegistryConfig] has been registered. 
2019-03-28 13:59:31.968 INFO  --- [main] c.a.d.c.s.c.a.DubboConfigBindingRegistrar : The BeanPostProcessor bean definition [com.alibaba.dubbo.config.spring.beans.factory.annotation.DubboConfigBindingBeanPostProcessor] for dubbo config bean [name : com.alibaba.dubbo.config.RegistryConfig#0] has been registered. 
2019-03-28 13:59:31.968 INFO  --- [main] c.a.d.c.s.c.a.DubboConfigBindingRegistrar : The dubbo config bean definition [name : com.alibaba.dubbo.config.ProtocolConfig#0, class : com.alibaba.dubbo.config.ProtocolConfig] has been registered. 
2019-03-28 13:59:31.968 INFO  --- [main] c.a.d.c.s.c.a.DubboConfigBindingRegistrar : The BeanPostProcessor bean definition [com.alibaba.dubbo.config.spring.beans.factory.annotation.DubboConfigBindingBeanPostProcessor] for dubbo config bean [name : com.alibaba.dubbo.config.ProtocolConfig#0] has been registered. 
2019-03-28 13:59:32.028 INFO  --- [main] o.s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data repositories in DEFAULT mode. 
2019-03-28 13:59:32.106 INFO  --- [main] o.s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 70ms. Found 1 repository interfaces. 
2019-03-28 13:59:32.294 INFO  --- [main] o.s.c.a.ConfigurationClassPostProcessor : Cannot enhance @Configuration bean definition 'com.alibaba.boot.dubbo.autoconfigure.DubboAutoConfiguration' since its singleton instance has been created too early. The typical cause is a non-static @Bean method with a BeanDefinitionRegistryPostProcessor return type: Consider declaring such methods as 'static'. 
2019-03-28 13:59:32.383 INFO  --- [main] o.s.cloud.context.scope.GenericScope : BeanFactory id=158ecea4-d99a-3e0d-bf34-34674b654283 
2019-03-28 13:59:32.417 INFO  --- [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'spring.datasource-org.springframework.boot.autoconfigure.jdbc.DataSourceProperties' of type [org.springframework.boot.autoconfigure.jdbc.DataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-03-28 13:59:32.423 INFO  --- [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'fescarConfig' of type [com.ksyzz.account.config.FescarConfig$$EnhancerBySpringCGLIB$$55415fca] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-03-28 13:59:37.515 ERROR --- [main] c.alibaba.fescar.config.ConfigFuture : config operation timeout,cost:5002 ms,op:GET,dataId:service.disableGlobalTransaction 
2019-03-28 13:59:37.538 INFO  --- [main] c.a.f.s.a.GlobalTransactionScanner : Initializing Global Transaction Clients ...  
2019-03-28 13:59:37.643 INFO  --- [main] c.a.f.c.r.n.AbstractRpcRemotingClient : AbstractRpcRemotingClient has started 
2019-03-28 13:59:37.652 INFO  --- [main] c.a.f.s.a.GlobalTransactionScanner : Transaction Manager Client is initialized. applicationId[account] txServiceGroup[demo] 
2019-03-28 13:59:37.665 INFO  --- [main] c.a.fescar.rm.datasource.AsyncWorker : Async Commit Buffer Limit: 10000 
2019-03-28 13:59:37.671 INFO  --- [main] c.a.f.c.r.n.AbstractRpcRemotingClient : AbstractRpcRemotingClient has started 
2019-03-28 13:59:37.673 INFO  --- [main] c.a.f.s.a.GlobalTransactionScanner : Resource Manager is initialized. applicationId[account] txServiceGroup[demo] 
2019-03-28 13:59:37.673 INFO  --- [main] c.a.f.s.a.GlobalTransactionScanner : Global Transaction Clients are initialized.  
2019-03-28 13:59:37.812 INFO  --- [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$e5269c62] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-03-28 13:59:38.042 INFO  --- [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'relaxedDubboConfigBinder' of type [com.alibaba.boot.dubbo.autoconfigure.RelaxedDubboConfigBinder] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-03-28 13:59:38.046 INFO  --- [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'relaxedDubboConfigBinder' of type [com.alibaba.boot.dubbo.autoconfigure.RelaxedDubboConfigBinder] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-03-28 13:59:38.048 INFO  --- [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'relaxedDubboConfigBinder' of type [com.alibaba.boot.dubbo.autoconfigure.RelaxedDubboConfigBinder] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-03-28 13:59:38.070 INFO  --- [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'spring.cloud.sentinel-org.springframework.cloud.alibaba.sentinel.SentinelProperties' of type [org.springframework.cloud.alibaba.sentinel.SentinelProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-03-28 13:59:38.080 INFO  --- [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.alibaba.sentinel.custom.SentinelAutoConfiguration' of type [org.springframework.cloud.alibaba.sentinel.custom.SentinelAutoConfiguration$$EnhancerBySpringCGLIB$$a2916885] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-03-28 13:59:38.095 INFO  --- [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$1409f5f] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-03-28 13:59:38.538 INFO  --- [main] o.s.b.w.e.tomcat.TomcatWebServer : Tomcat initialized with port(s): 8081 (http) 
2019-03-28 13:59:38.553 INFO  --- [main] o.a.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8081"] 
2019-03-28 13:59:38.561 INFO  --- [main] o.a.catalina.core.StandardService : Starting service [Tomcat] 
2019-03-28 13:59:38.562 INFO  --- [main] o.a.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/9.0.16] 
